,n0,n.eff,fdr0,fdr.adj
1,13,7,0.615384615384615,0.833333333333333
2,12,8,0.833333333333333,1
3,8,4,0.625,1
4,11,7,0.727272727272727,0.75
5,14,5,0.714285714285714,1
6,14,10,0.714285714285714,1
7,13,8,0.769230769230769,1
8,10,6,0.6,1
9,4,3,0.25,0
10,14,8,0.785714285714286,1
11,5,5,0.2,1
12,17,11,0.823529411764706,1
13,7,5,0.428571428571429,1
14,14,12,0.785714285714286,1
15,12,7,0.666666666666667,0.833333333333333
16,18,12,0.777777777777778,1
17,11,6,0.545454545454545,0.714285714285714
18,12,8,0.666666666666667,0.833333333333333
19,16,7,0.8125,1
20,22,4,0.863636363636364,0.944444444444444
21,11,9,0.636363636363636,1
22,16,6,0.875,1
23,10,8,0.7,1
24,17,7,0.764705882352941,0.909090909090909
25,11,8,0.818181818181818,1
26,14,9,0.785714285714286,1
27,7,4,0.428571428571429,0.666666666666667
28,6,5,0.5,1
29,14,5,0.857142857142857,0.909090909090909
30,10,9,0.6,0.333333333333333
31,14,7,0.642857142857143,0.857142857142857
32,9,5,0.777777777777778,1
33,15,12,0.733333333333333,0.75
34,7,3,0.714285714285714,1
35,10,9,0.8,1
36,11,6,0.727272727272727,1
37,7,6,0.714285714285714,1
38,13,8,0.692307692307692,1
39,10,6,0.7,1
40,13,9,0.769230769230769,1
41,16,9,0.875,1
42,11,7,0.727272727272727,1
43,14,11,0.642857142857143,1
44,8,8,0.625,1
45,18,11,0.722222222222222,0.875
46,11,7,0.545454545454545,0.75
47,6,3,0.5,1
48,10,4,0.6,0.833333333333333
49,5,3,0.6,1
50,11,8,0.727272727272727,1
51,7,6,0.571428571428571,0.5
52,17,12,0.823529411764706,0.833333333333333
53,16,6,0.75,0.909090909090909
54,15,14,0.733333333333333,1
55,7,4,0.571428571428571,0.8
56,9,8,0.888888888888889,1
57,16,8,0.75,0.875
58,17,6,0.764705882352941,0.909090909090909
59,10,11,0.7,1
60,8,3,0.75,1
61,7,3,0.714285714285714,1
62,13,7,0.692307692307692,0.714285714285714
63,6,4,0.5,1
64,14,10,0.857142857142857,1
65,13,9,0.846153846153846,0.833333333333333
66,7,5,0.714285714285714,1
67,18,6,0.833333333333333,0.923076923076923
68,9,4,0.555555555555556,0.6
69,18,8,0.777777777777778,0.9
70,8,5,0.75,1
71,13,5,0.692307692307692,0.875
72,8,10,0.75,1
73,7,2,0.857142857142857,1
74,13,12,0.769230769230769,1
75,2,1,0.5,1
76,8,3,0.5,0.8
77,6,5,0.5,1
78,8,6,0.625,1
79,13,10,0.769230769230769,1
80,9,5,0.555555555555556,1
81,5,4,0.4,0.5
82,18,4,0.833333333333333,0.933333333333333
83,5,3,0.4,0.5
84,9,9,0.666666666666667,0.75
85,4,3,0.25,1
86,17,4,0.882352941176471,0.866666666666667
87,10,7,0.7,1
88,8,5,0.75,1
89,6,5,0.5,1
90,13,7,0.769230769230769,1
91,17,15,0.823529411764706,0.666666666666667
92,18,6,0.722222222222222,0.923076923076923
93,9,6,0.666666666666667,0.75
94,15,14,0.733333333333333,1
95,6,7,0.333333333333333,0
96,12,3,0.75,1
97,13,5,0.692307692307692,1
98,9,6,0.666666666666667,1
99,10,3,0.6,0.714285714285714
100,3,2,0.333333333333333,1
101,6,4,0.5,1
102,9,8,0.555555555555556,1
103,18,15,0.833333333333333,1
104,18,11,0.777777777777778,0.857142857142857
105,16,5,0.75,0.916666666666667
106,17,11,0.705882352941176,0.857142857142857
107,15,6,0.666666666666667,0.888888888888889
108,9,9,0.555555555555556,1
109,10,9,0.7,1
110,11,9,0.727272727272727,1
111,7,4,0.714285714285714,0.666666666666667
112,9,7,0.555555555555556,1
113,10,8,0.5,1
114,10,8,0.7,1
115,16,7,0.6875,0.777777777777778
116,12,11,0.916666666666667,1
117,10,6,0.7,0.5
118,7,4,0.714285714285714,1
119,6,5,0.666666666666667,0.666666666666667
120,11,9,0.818181818181818,1
121,15,3,0.8,0.916666666666667
122,15,7,0.733333333333333,0.777777777777778
123,13,7,0.692307692307692,0.777777777777778
124,7,6,0.714285714285714,1
125,11,9,0.727272727272727,1
126,12,11,0.666666666666667,1
127,10,8,0.7,1
128,10,6,0.6,1
129,12,11,0.666666666666667,1
130,6,4,0.833333333333333,1
131,10,6,0.6,0.75
132,7,2,0.857142857142857,1
133,7,9,0.571428571428571,1
134,18,9,0.722222222222222,0.888888888888889
135,11,11,0.727272727272727,1
136,19,6,0.789473684210526,0.846153846153846
137,9,11,0.666666666666667,0.5
138,10,9,0.7,1
139,12,6,0.666666666666667,0.75
140,8,6,0.5,0.666666666666667
141,10,7,0.6,0.75
142,8,4,0.625,0.75
143,9,3,0.555555555555556,0.833333333333333
144,15,13,0.8,1
145,6,2,0.666666666666667,1
146,5,4,0.6,1
147,8,9,0.375,1
148,12,9,0.666666666666667,1
149,13,6,0.615384615384615,1
150,13,5,0.692307692307692,0.875
151,6,4,0.666666666666667,1
152,4,2,0.5,1
153,6,6,0.666666666666667,1
154,10,7,0.7,1
155,15,7,0.8,0.9
156,13,13,0.615384615384615,0.5
157,10,5,0.5,0.6
158,7,2,0.571428571428571,0.8
159,12,11,0.583333333333333,0.6
160,8,5,0.75,1
161,12,8,0.666666666666667,1
162,11,7,0.727272727272727,0.75
163,5,3,0.6,1
164,22,8,0.818181818181818,0.866666666666667
165,13,9,0.769230769230769,1
166,12,10,0.666666666666667,1
167,9,6,0.666666666666667,0.833333333333333
168,13,7,0.769230769230769,1
169,12,8,0.75,1
170,13,2,0.615384615384615,0.727272727272727
171,6,2,0.833333333333333,1
172,8,3,0.625,1
173,14,10,0.714285714285714,1
174,10,5,0.6,0.833333333333333
175,6,1,0.5,0.6
176,18,9,0.777777777777778,0.8
177,3,1,0.333333333333333,0.5
178,14,11,0.785714285714286,1
179,14,7,0.714285714285714,1
180,10,7,0.6,0.833333333333333
181,15,5,0.8,1
182,9,6,0.666666666666667,1
183,12,7,0.666666666666667,1
184,9,5,0.555555555555556,0.8
185,9,10,0.666666666666667,1
186,16,9,0.75,1
187,15,5,0.8,1
188,5,5,0.4,0.5
189,16,7,0.75,0.888888888888889
190,5,3,0.8,1
191,10,11,0.7,1
192,12,10,0.75,1
193,11,6,0.636363636363636,0.8
194,10,5,0.7,1
195,8,4,0.625,0.8
196,15,11,0.8,0.75
197,12,9,0.75,0.8
198,16,8,0.75,0.75
199,11,2,0.727272727272727,0.888888888888889
200,13,7,0.769230769230769,0.833333333333333
201,7,2,0.714285714285714,0.8
202,13,8,0.692307692307692,1
203,8,6,0.625,1
204,8,8,0.625,1
205,4,2,0.5,1
206,7,4,0.714285714285714,0.666666666666667
207,9,8,0.555555555555556,0
208,17,4,0.764705882352941,0.923076923076923
209,10,7,0.7,1
210,15,8,0.733333333333333,0.714285714285714
211,14,9,0.642857142857143,0.857142857142857
212,10,8,0.7,1
213,9,5,0.555555555555556,1
214,3,2,0.333333333333333,0.5
215,11,10,0.818181818181818,1
216,13,4,0.692307692307692,0.9
217,9,7,0.555555555555556,1
218,4,3,0.5,1
219,7,7,0.571428571428571,1
220,12,10,0.583333333333333,1
221,8,5,0.625,1
222,12,13,0.666666666666667,1
223,4,4,0.5,1
224,20,11,0.8,0.9
225,11,5,0.636363636363636,0.833333333333333
226,14,12,0.642857142857143,1
227,16,3,0.6875,0.769230769230769
228,12,8,0.666666666666667,1
229,10,4,0.7,1
230,9,8,0.777777777777778,1
231,18,16,0.777777777777778,0.666666666666667
232,14,3,0.785714285714286,0.727272727272727
233,6,4,0.5,0.5
234,14,4,0.714285714285714,0.818181818181818
235,14,10,0.714285714285714,1
236,17,7,0.764705882352941,0.9
237,8,3,0.75,1
238,14,9,0.785714285714286,1
239,7,4,0.857142857142857,1
240,13,7,0.692307692307692,0.833333333333333
241,16,7,0.6875,0.9
242,14,3,0.714285714285714,0.818181818181818
243,12,13,0.75,1
244,14,9,0.714285714285714,0.833333333333333
245,17,16,0.764705882352941,1
246,8,5,0.5,1
247,10,9,0.7,1
248,7,3,0.714285714285714,0.75
249,18,6,0.777777777777778,1
250,11,2,0.818181818181818,1
251,8,4,0.5,0.666666666666667
252,15,8,0.8,1
253,7,6,0.857142857142857,1
254,7,6,0.571428571428571,0
