"","x"
"s__Abiotrophia_defectiva",6.61174367511988e-07
"s__Acidaminococcus_fermentans",0.000116495057990041
"s__Acidaminococcus_intestini",6.4505671330324e-05
"s__Actinomyces_graevenitzii",2.2810555159132e-05
"s__Actinomyces_odontolyticus",1.77112718873015e-05
"s__Actinomyces_oris",1.02085039756167e-06
"s__Actinomyces_turicensis",3.69919700769589e-05
"s__Actinomyces_viscosus",1.50735961623084e-06
"s__Adlercreutzia_equolifaciens",0.000606845958430924
"s__Aggregatibacter_segnis",2.00279049020903e-05
"s__Akkermansia_muciniphila",0.0136899911134354
"s__Alistipes_finegoldii",0.00338805205927579
"s__Alistipes_indistinctus",0.00155088110375284
"s__Alistipes_onderdonkii",0.00752502714152286
"s__Alistipes_putredinis",0.0325057617973323
"s__Alistipes_senegalensis",0.000615938591708518
"s__Alistipes_shahii",0.00876903425869764
"s__Alistipes_sp_AP11",0.00115011213669307
"s__Alistipes_sp_HGB5",0.000671822799001025
"s__Alloscardovia_omnicolens",5.48183696134315e-06
"s__Anaerococcus_obesiensis",3.78958920864321e-06
"s__Anaerococcus_vaginalis",9.75594952585683e-06
"s__Anaerofustis_stercorihominis",4.47681596314938e-06
"s__Anaeroglobus_geminatus",2.72524793983315e-07
"s__Anaerostipes_caccae",1.00690061802927e-05
"s__Anaerostipes_hadrus",0.0019281713936847
"s__Anaerotruncus_colihominis",0.000112714977247431
"s__Atopobium_parvulum",3.14985276288973e-06
"s__Atopobium_rimae",2.70339343044684e-06
"s__Atopobium_vaginae",3.49962526899638e-06
"s__Bacteroidales_bacterium_ph8",0.00553235823165413
"s__Bacteroides_caccae",0.0151907028852444
"s__Bacteroides_cellulosilyticus",0.00835200779056532
"s__Bacteroides_clarus",0.00141183152157967
"s__Bacteroides_coprocola",0.0106166497692768
"s__Bacteroides_coprophilus",0.00248511048507021
"s__Bacteroides_dorei",0.0183534867885529
"s__Bacteroides_eggerthii",0.0115453371733872
"s__Bacteroides_faecis",0.00290021885561919
"s__Bacteroides_finegoldii",0.00414937322265857
"s__Bacteroides_fragilis",0.00450618711293119
"s__Bacteroides_intestinalis",0.00279427875670148
"s__Bacteroides_massiliensis",0.019359493117741
"s__Bacteroides_nordii",0.000196763527382883
"s__Bacteroides_oleiciplenus",2.01993914332461e-05
"s__Bacteroides_ovatus",0.018209665117195
"s__Bacteroides_pectinophilus",0.0012365232160044
"s__Bacteroides_plebeius",0.0113113478389398
"s__Bacteroides_salyersiae",0.00314095935661437
"s__Bacteroides_sp_2_1_22",0.00178398848822212
"s__Bacteroides_sp_3_1_19",0.000433379033667682
"s__Bacteroides_sp_4_3_47FAA",0.00134995548077109
"s__Bacteroides_stercoris",0.0266714576037022
"s__Bacteroides_thetaiotaomicron",0.00893689938856967
"s__Bacteroides_uniformis",0.0390193522810309
"s__Bacteroides_vulgatus",0.0357284645077757
"s__Bacteroides_xylanisolvens",0.00326359710227273
"s__Barnesiella_intestinihominis",0.0128275286443508
"s__Bifidobacterium_adolescentis",0.0330681444413672
"s__Bifidobacterium_angulatum",0.00240132113018787
"s__Bifidobacterium_animalis",0.000543073444132269
"s__Bifidobacterium_bifidum",0.00445670762111995
"s__Bifidobacterium_breve",0.000165706771574101
"s__Bifidobacterium_catenulatum",0.00238473558874485
"s__Bifidobacterium_dentium",8.62359507110611e-05
"s__Bifidobacterium_longum",0.0168975913477264
"s__Bifidobacterium_pseudocatenulatum",0.00339321810239748
"s__Bilophila_wadsworthia",0.000234758568440046
"s__Blautia_hansenii",1.18022217271396e-06
"s__Blautia_hydrogenotrophica",8.27624474996877e-05
"s__Blautia_producta",4.28850117138038e-05
"s__Burkholderiales_bacterium_1_1_47",0.000568742219057379
"s__Butyricicoccus_pullicaecorum",3.11784553023183e-05
"s__Butyricimonas_synergistica",2.35586535198418e-05
"s__Butyrivibrio_crossotus",0.0095676216357222
"s__Campylobacter_hominis",1.75714741831517e-05
"s__candidate_division_TM7_single_cell_isolate_TM7b",1.05261129194528e-06
"s__candidate_division_TM7_single_cell_isolate_TM7c",2.69240939153625e-06
"s__Catenibacterium_mitsuokai",0.00354090972142261
"s__Citrobacter_freundii",0.00010198677895765
"s__Clostridiaceae_bacterium_JC118",7.0295128109766e-05
"s__Clostridiales_bacterium_1_7_47FAA",5.73355571160076e-05
"s__Clostridium_asparagiforme",0.000111826661129901
"s__Clostridium_bartlettii",0.00163742732493451
"s__Clostridium_bolteae",0.000750384361644508
"s__Clostridium_celatum",4.65898764351957e-06
"s__Clostridium_citroniae",6.94103131392634e-05
"s__Clostridium_clostridioforme",0.000192332685271469
"s__Clostridium_difficile",1.53487439148745e-06
"s__Clostridium_hathewayi",0.000261836126558289
"s__Clostridium_hylemonae",3.44416185476538e-06
"s__Clostridium_innocuum",4.67442298767363e-05
"s__Clostridium_leptum",0.000785759951953968
"s__Clostridium_methylpentosum",1.21008419216026e-06
"s__Clostridium_nexile",0.00116496899291711
"s__Clostridium_perfringens",9.68592341453696e-05
"s__Clostridium_ramosum",0.000103057494893797
"s__Clostridium_scindens",7.11817003361257e-06
"s__Clostridium_sp_ATCC_BAA_442",0.000157731107652076
"s__Clostridium_sp_KLE_1755",6.34770788030924e-05
"s__Clostridium_sp_L2_50",0.00618875125380919
"s__Clostridium_spiroforme",6.21501047466921e-05
"s__Clostridium_symbiosum",0.000236204034715916
"s__Collinsella_aerofaciens",0.012402273844577
"s__Collinsella_intestinalis",0.000121337258167017
"s__Collinsella_tanakaei",7.51055549698193e-05
"s__Coprobacillus_sp_29_1",0.000248613799307797
"s__Coprobacillus_sp_D6",0.000106548949452828
"s__Coprobacter_fastidiosus",0.000463927527689486
"s__Coprococcus_catus",0.00300130285789987
"s__Coprococcus_comes",0.00837368044026771
"s__Coprococcus_eutactus",0.00198067196247015
"s__Coprococcus_sp_ART55_1",0.0118986492611593
"s__Coriobacteriaceae_bacterium_phI",9.39634884664692e-05
"s__Corynebacterium_durum",3.73323232463281e-07
"s__Desulfovibrio_desulfuricans",7.75233758520336e-05
"s__Desulfovibrio_piger",0.000500026675996233
"s__Dialister_invisus",0.00998600244649382
"s__Dialister_succinatiphilus",0.00147775638401076
"s__Dorea_formicigenerans",0.00564154832371475
"s__Dorea_longicatena",0.0131927366240821
"s__Eggerthella_lenta",8.32432974475361e-05
"s__Enterobacter_aerogenes",0.000136695867736323
"s__Enterobacter_cloacae",0.000534464863587045
"s__Enterococcus_avium",3.55540267669096e-06
"s__Enterococcus_casseliflavus",3.52133964796621e-06
"s__Enterococcus_durans",1.46727794664507e-05
"s__Enterococcus_faecalis",0.000116973022975265
"s__Enterococcus_faecium",0.000198128345839324
"s__Erysipelotrichaceae_bacterium_2_2_44A",0.000102776589647918
"s__Erysipelotrichaceae_bacterium_21_3",5.58161089332311e-05
"s__Erysipelotrichaceae_bacterium_3_1_53",1.71471118842644e-05
"s__Erysipelotrichaceae_bacterium_5_2_54FAA",1.84571483350116e-05
"s__Erysipelotrichaceae_bacterium_6_1_45",9.28843769336579e-05
"s__Escherichia_coli",0.010390081677607
"s__Eubacterium_biforme",0.00729266787666922
"s__Eubacterium_brachy",8.15995137291079e-07
"s__Eubacterium_cylindroides",0.000295429849981802
"s__Eubacterium_dolichum",3.87363871456672e-05
"s__Eubacterium_eligens",0.0146348827835341
"s__Eubacterium_hallii",0.0139593596789477
"s__Eubacterium_infirmum",1.32605473996994e-06
"s__Eubacterium_limosum",2.55067587165513e-05
"s__Eubacterium_ramulus",0.00189425223515451
"s__Eubacterium_rectale",0.0660146790860755
"s__Eubacterium_siraeum",0.0126270035444792
"s__Eubacterium_sp_3_1_31",0.000184133877928147
"s__Eubacterium_ventriosum",0.0037893614096073
"s__Faecalibacterium_prausnitzii",0.0690751442829898
"s__Finegoldia_magna",2.46100627088672e-05
"s__Flavonifractor_plautii",0.000237423134806303
"s__Fusobacterium_gonidiaformans",2.48828854776687e-05
"s__Fusobacterium_mortiferum",0.000735198369484709
"s__Fusobacterium_nucleatum",9.5826058422586e-06
"s__Fusobacterium_periodonticum",2.85592645540085e-06
"s__Fusobacterium_ulcerans",5.70649976893143e-05
"s__Fusobacterium_varium",3.23693204252427e-05
"s__Gardnerella_vaginalis",1.86675801325794e-05
"s__Gemella_haemolysans",3.34106468226669e-06
"s__Gemella_morbillorum",4.49670270334322e-06
"s__Gemella_sanguinis",1.50914592029518e-05
"s__Gordonibacter_pamelaeae",0.000158190836453354
"s__Granulicatella_adiacens",1.47420571182575e-05
"s__Granulicatella_elegans",2.27133699309394e-06
"s__Haemophilus_haemolyticus",2.47894912157394e-06
"s__Haemophilus_parainfluenzae",0.00138458790746509
"s__Haemophilus_pittmaniae",2.76847866885422e-05
"s__Haemophilus_sputorum",1.04712102805278e-05
"s__Holdemania_filiformis",0.000166793523614108
"s__Holdemania_sp_AP2",2.18180162938328e-05
"s__Klebsiella_oxytoca",0.000102166092980024
"s__Klebsiella_pneumoniae",0.00152753975265237
"s__Lachnospiraceae_bacterium_1_1_57FAA",0.0035287120551938
"s__Lachnospiraceae_bacterium_1_4_56FAA",0.000173676395242758
"s__Lachnospiraceae_bacterium_2_1_46FAA",4.89180280739174e-05
"s__Lachnospiraceae_bacterium_2_1_58FAA",0.000432102039827386
"s__Lachnospiraceae_bacterium_3_1_46FAA",0.00148533184041236
"s__Lachnospiraceae_bacterium_3_1_57FAA_CT1",0.000274148664067393
"s__Lachnospiraceae_bacterium_4_1_37FAA",2.71924854562519e-06
"s__Lachnospiraceae_bacterium_5_1_57FAA",4.0257810279318e-05
"s__Lachnospiraceae_bacterium_5_1_63FAA",0.00271592276569882
"s__Lachnospiraceae_bacterium_6_1_63FAA",9.81389329674196e-06
"s__Lachnospiraceae_bacterium_7_1_58FAA",0.000335588585477237
"s__Lachnospiraceae_bacterium_8_1_57FAA",0.00161043648088344
"s__Lachnospiraceae_bacterium_9_1_43BFAA",1.32367306671418e-05
"s__Lactobacillus_acidophilus",0.000120615893403988
"s__Lactobacillus_amylovorus",1.26207942736977e-06
"s__Lactobacillus_casei_paracasei",2.22522168534732e-05
"s__Lactobacillus_crispatus",1.82052753678581e-05
"s__Lactobacillus_curvatus",5.74746598918598e-06
"s__Lactobacillus_delbrueckii",0.000136360642137431
"s__Lactobacillus_fermentum",3.13684039911278e-05
"s__Lactobacillus_gasseri",6.31351808537993e-05
"s__Lactobacillus_iners",5.59925730810719e-06
"s__Lactobacillus_mucosae",8.06845567808557e-05
"s__Lactobacillus_oris",8.17851309638175e-06
"s__Lactobacillus_plantarum",6.47245372967442e-05
"s__Lactobacillus_reuteri",4.43305969860287e-05
"s__Lactobacillus_rhamnosus",1.23622473092271e-05
"s__Lactobacillus_ruminis",0.00227587540674683
"s__Lactobacillus_sakei",1.98602106080557e-05
"s__Lactobacillus_salivarius",0.000189164508208865
"s__Lactobacillus_sanfranciscensis",2.67250181696105e-05
"s__Lactobacillus_vaginalis",6.32110641439906e-06
"s__Lactococcus_garvieae",6.34311444353039e-05
"s__Lactococcus_lactis",0.000283804293675267
"s__Lactococcus_raffinolactis",1.32976259769295e-05
"s__Leuconostoc_lactis",2.54309547039083e-05
"s__Leuconostoc_mesenteroides",1.50553062520996e-05
"s__Leuconostoc_pseudomesenteroides",2.31459188943238e-06
"s__Megamonas_funiformis",0.00105817916806311
"s__Megamonas_hypermegale",0.00178103921022666
"s__Megamonas_rupellensis",0.00117552862708405
"s__Megasphaera_elsdenii",0.000164426531506825
"s__Megasphaera_micronuciformis",9.04506695769543e-06
"s__Methanobrevibacter_smithii",0.00891247198771586
"s__Methanosphaera_stadtmanae",0.000722840407513503
"s__Mitsuokella_multacida",0.000433266460276817
"s__Morganella_morganii",1.43674991766931e-06
"s__Odoribacter_laneus",0.000695029823419873
"s__Odoribacter_splanchnicus",0.0060202905369824
"s__Oribacterium_sinus",7.32199472538485e-07
"s__Oscillibacter_sp_KLE_1728",7.38897178425724e-05
"s__Oscillibacter_sp_KLE_1745",0.00033061727179
"s__Oxalobacter_formigenes",0.000201500793144177
"s__Parabacteroides_distasonis",0.00692224716956775
"s__Parabacteroides_goldsteinii",0.00062575549901901
"s__Parabacteroides_johnsonii",0.00118479206396715
"s__Parabacteroides_merdae",0.015192303307345
"s__Paraprevotella_clara",0.00167387470032213
"s__Paraprevotella_xylaniphila",0.000755540338188903
"s__Parascardovia_denticolens",2.58363245862606e-07
"s__Parasutterella_excrementihominis",0.000584579614489222
"s__Parvimonas_micra",1.14158840890541e-05
"s__Pediococcus_pentosaceus",0.000138702795984167
"s__Peptoniphilus_harei",5.40372081519599e-06
"s__Peptoniphilus_lacrimalis",2.51959954716514e-05
"s__Peptostreptococcus_anaerobius",8.90895458638506e-06
"s__Peptostreptococcus_stomatis",1.04316813971973e-05
"s__Phascolarctobacterium_succinatutens",0.00688543871595609
"s__Porphyromonas_asaccharolytica",2.79603506352048e-05
"s__Porphyromonas_bennonis",1.48582951731682e-05
"s__Porphyromonas_somerae",9.79068033165034e-06
"s__Porphyromonas_uenonis",8.22252901510872e-06
"s__Prevotella_bivia",3.8160314149443e-05
"s__Prevotella_buccalis",1.44761984998793e-05
"s__Prevotella_copri",0.0796941718474928
"s__Prevotella_disiens",3.75523326645616e-05
"s__Prevotella_stercorea",0.00789952753285327
"s__Prevotella_timonensis",2.857545365505e-05
"s__Propionibacterium_freudenreichii",1.33345552614408e-05
"s__Proteus_mirabilis",5.68229974290406e-06
"s__Pseudoflavonifractor_capillosus",3.24283438899139e-05
"s__Pyramidobacter_piscolens",2.37529755694598e-05
"s__Raoultella_ornithinolytica",2.04437149633998e-05
"s__Roseburia_hominis",0.00454288061067154
"s__Roseburia_intestinalis",0.0111409437511081
"s__Roseburia_inulinivorans",0.0100624605621832
"s__Rothia_dentocariosa",2.4210649212859e-06
"s__Rothia_mucilaginosa",9.60081480010315e-05
"s__Ruminococcaceae_bacterium_D16",0.000210202986022649
"s__Ruminococcus_albus",2.05267539061558e-05
"s__Ruminococcus_bromii",0.0375579171720213
"s__Ruminococcus_callidus",0.00229575117560705
"s__Ruminococcus_champanellensis",0.000795975662797199
"s__Ruminococcus_flavefaciens",1.14880834917875e-05
"s__Ruminococcus_gnavus",0.00297312967605908
"s__Ruminococcus_lactaris",0.00559195826861841
"s__Ruminococcus_obeum",0.0087903851705139
"s__Ruminococcus_sp_5_1_39BFAA",0.0196027858273536
"s__Ruminococcus_sp_JC304",0.000134333050206589
"s__Ruminococcus_torques",0.0138567054283761
"s__Saccharomyces_cerevisiae",2.00468310317569e-05
"s__Scardovia_wiggsiae",1.37968192616276e-06
"s__Shigella_flexneri",1.88318648719102e-06
"s__Shigella_sonnei",2.20880552802954e-05
"s__Slackia_piriformis",4.16911294810551e-05
"s__Solobacterium_moorei",1.84285828367063e-05
"s__Staphylococcus_aureus",3.69602290698546e-06
"s__Streptococcus_agalactiae",2.58109812586019e-06
"s__Streptococcus_anginosus",7.00165974196433e-05
"s__Streptococcus_australis",8.89280955710739e-05
"s__Streptococcus_constellatus",1.32460379039732e-06
"s__Streptococcus_cristatus",1.39902808592172e-06
"s__Streptococcus_gordonii",1.63633535194657e-05
"s__Streptococcus_infantarius",1.6325773111061e-05
"s__Streptococcus_infantis",2.18237906839647e-05
"s__Streptococcus_intermedius",9.60150846794381e-07
"s__Streptococcus_lutetiensis",6.31697757170419e-05
"s__Streptococcus_macedonicus",7.35761822799328e-06
"s__Streptococcus_mitis_oralis_pneumoniae",3.25063928720814e-05
"s__Streptococcus_mutans",3.77031219929544e-05
"s__Streptococcus_oligofermentans",1.95521470874556e-07
"s__Streptococcus_parasanguinis",0.000798384066470912
"s__Streptococcus_pasteurianus",4.45404320501843e-05
"s__Streptococcus_peroris",9.03287355950028e-08
"s__Streptococcus_salivarius",0.00333914249107651
"s__Streptococcus_sanguinis",3.11269365941885e-05
"s__Streptococcus_sobrinus",3.36719965192039e-06
"s__Streptococcus_thermophilus",0.00262621233870088
"s__Streptococcus_tigurinus",1.00565892226916e-06
"s__Streptococcus_vestibularis",0.000155184373977745
"s__Subdoligranulum_sp_4_3_54A2FAA",0.000451215127373368
"s__Subdoligranulum_variabile",4.64508950874745e-06
"s__Succinatimonas_hippei",3.96409330966375e-05
"s__Sutterella_wadsworthensis",0.00614259366337487
"s__Turicibacter_sanguinis",3.90843786013181e-05
"s__Varibaculum_cambriense",5.31174353009409e-06
"s__Veillonella_atypica",0.00014084658740267
"s__Veillonella_dispar",5.20876955325333e-05
"s__Veillonella_parvula",0.000529302859832453
"s__Weissella_cibaria",2.62096940011548e-05
"s__Weissella_confusa",5.05728599228455e-05
